aback	Taken by surprise; startled all of a sudden.
abase	To lower someone's dignity or rank; to humiliate them.
abate	To become less strong or intense; to ease off.
abbey	A building where monks or nuns live and worship.
abbot	The man in charge of a monastery of monks.
abhor	To hate something with deep, lasting disgust.
abide	To accept and follow a rule; to remain or stay.
abled	Having a particular skill or capacity to do things.
abode	The place where someone lives; a home.
abort	To stop a process early before it is finished.
about	On the subject of; roughly or approximately.
above	Higher than something else in place or rank.
abuse	Cruel or wrongful treatment; to use something wrongly.
abyss	A very deep hole or empty space; a chasm.
acorn	The small nut that grows on an oak tree.
acrid	Unpleasantly sharp or bitter in smell or taste.
actor	A person who performs roles in plays, films, or TV.
acute	Sharp, severe, or intense; very keen or perceptive.
adage	A short traditional saying that expresses a general truth.
adapt	To change so you fit new conditions or uses.
adept	Highly skilled or expert at doing something.
admin	The running of an office or system; the people who manage it.
admit	To confess something is true; to allow someone in.
adobe	Sun-dried clay brick used for building.
adopt	To take up a practice; to take a child as your own.
adore	To love and admire someone or something deeply.
adorn	To decorate or make something more beautiful.
adult	A fully grown person or animal; not a child.
affix	To attach something; a prefix or suffix on a word.
afire	Lighted up by or as by fire or flame.
afoot	In progress or happening; on foot.
afoul	Tangled up with; in conflict or collision with.
after	Later than; following in time or order.
again	One more time; once more.
agape	Wide open, especially the mouth in surprise.
agate	A hard, banded stone often used in jewelry.
agent	Someone who acts for another person or company.
agile	Able to move quickly and easily.
aging	Growing older; the process of becoming old.
aglow	Glowing with light, color, or warm feeling.
agony	Extreme physical or emotional pain.
agora	A public open space in ancient Greek cities.
agree	To share the same opinion or give consent.
ahead	In front; further forward in time or space.
aider	A person who helps or assists someone.
aisle	A walkway between rows of seats or shelves.
alarm	A warning signal; a sudden feeling of fear.
album	A collection of songs, photos, or keepsakes.
alert	Watchful and ready; a warning of danger.
algae	Simple water plants, often green and slimy.
alibi	Proof you were elsewhere when something happened.
alien	Foreign or strange; a being from another world.
align	To line things up straight or in agreement.
alike	Similar to each other; in the same way.
alive	Living; full of energy or activity.
allay	To calm fear or reduce pain or worry.
alley	A narrow path or lane between buildings.
allot	To give out shares or assign portions.
allow	To permit something; to let it happen.
alloy	A metal mixed with other metals or elements.
aloft	High up in the air; overhead.
alone	By yourself; without other people.
along	Moving forward on a path; together with.
aloof	Cool and distant; not friendly or involved.
aloud	Spoken so others can hear; out loud.
alpha	The first Greek letter; the leader of a group.
altar	A sacred table used in religious ceremonies.
alter	To change something, usually only slightly.
amass	To gather a large amount over time.
amaze	To fill someone with great surprise.
amber	A warm yellow-orange color; fossil tree resin.
amble	To walk slowly in a relaxed way.
amend	To improve a text or law by making changes.
amiss	Wrong, faulty, or not as it should be.
amity	Friendly, peaceful relations between people.
among	In the middle of; surrounded by others.
ample	More than enough; plentiful in size or amount.
amply	In a generous or plentiful way.
amuse	To entertain or make someone smile or laugh.
angel	A heavenly being; a very kind, good person.
anger	A strong feeling of being very upset or hostile.
angle	The shape made by two lines meeting; a viewpoint.
angry	Feeling or showing anger.
angst	Deep anxiety or dread about life or the future.
anime	A style of animation from Japan.
ankle	The joint that connects your foot to your leg.
annex	To take over land or add an extension to a building.
annoy	To bother or irritate someone.
annul	To cancel something officially, as if it never counted.
anode	The positive electrode in a battery or cell.
antic	A playful or silly prank; clownish behavior.
anvil	A heavy iron block used when hammering metal.
aorta	The main artery that carries blood from the heart.
apart	Separated; away from each other.
aphid	A tiny insect that sucks sap from plants.
aping	Copying someone, often in a mocking way.
apnea	A pause in breathing, often during sleep.
apple	A crisp round fruit that grows on trees.
apply	To put something to use; to make a formal request.
apron	A cloth worn over clothes to keep them clean while cooking.
aptly	In a fitting or well-chosen way.
arbor	A shady garden shelter covered with climbing plants.
ardor	Great passion, enthusiasm, or eagerness.
arena	A place for sports or shows; a field of conflict.
argue	To give reasons for or against something.
arise	To get up; to come into existence.
armor	Protective covering worn in battle or on machines.
aroma	A pleasant or distinctive smell.
arose	Past tense of arise; came up or began.
array	An impressive ordered display or arrangement.
arrow	A thin pointed shaft shot from a bow.
arson	The crime of deliberately setting fire to property.
artsy	Trying hard to seem artistic or cultured.
ascot	A formal wide necktie looped under the chin.
ashen	Pale gray like ash, often from shock or illness.
aside	To one side; a remark said privately.
askew	Not straight; crooked or tilted.
assay	A test of a substance for quality or content.
asset	Something valuable that you own or can use.
atoll	A ring-shaped coral island around a lagoon.
atone	To make up for a wrong you have done.
attic	The room or space under a house's roof.
audio	Sound, especially recorded or electronic sound.
audit	An official check of accounts or records.
augur	To be a sign of what will happen; a prophet.
aunty	An informal word for aunt.
avail	To be of use or help; a benefit.
avert	To turn away; to prevent something bad.
avian	Having to do with birds.
avoid	To stay away from; to prevent.
await	To wait for something that is coming.
awake	Not asleep; to stop sleeping.
award	A prize or honor given for achievement.
aware	Knowing about a fact or situation.
awash	Covered with water; filled or flooded with.
awful	Very bad or unpleasant; extreme.
awoke	Past tense of awake; stopped sleeping.
axial	Along or around a central axis or line.
axiom	A basic truth accepted without needing proof.
axion	A hypothetical tiny particle studied in physics.
azure	Bright blue, like a clear summer sky.
bacon	Cured meat from the back or sides of a pig.
badge	A small emblem worn to show rank or membership.
badly	In a poor or unsatisfactory way; to a great degree.
bagel	A dense ring-shaped bread roll, often boiled then baked.
baggy	Loose and hanging in folds; not tight.
baker	A person whose job is to bake bread and cakes.
baler	A machine that packs hay or paper into bales.
balmy	Mild and pleasant, like warm gentle weather.
banal	Boring because it is too ordinary or overused.
banjo	A stringed instrument with a round body and long neck.
barge	A flat-bottomed boat for carrying freight; to push in rudely.
baron	A nobleman of high rank; a powerful business leader.
basal	Forming the base or foundation of something.
basic	Simple and fundamental; forming a starting point.
basil	A sweet-smelling herb used in cooking.
basin	A wide bowl; a low area that holds water.
basis	The main foundation or starting point for something.
baste	To moisten food while cooking; to sew with loose stitches.
batch	A group of things made or handled together.
bathe	To wash yourself or someone in water.
baton	A stick used by a conductor or relay runner.
batty	Slightly crazy or eccentric (informal).
bawdy	Humorously crude or indecent.
bayou	A slow marshy stream, especially in the southern U.S.
beach	A sandy or pebbly shore by the sea or a lake.
beady	Small, round, and shiny, like beads (often of eyes).
beard	Hair growing on the chin and cheeks of a man's face.
beast	An animal, especially a large or wild one.
beech	A smooth-barked tree with hard wood and small nuts.
beefy	Strong and muscular; solid and substantial.
befit	To be suitable or proper for someone.
began	Past tense of begin; started.
begat	Old past tense of beget; fathered or produced.
beget	To father a child; to cause something to happen.
begin	To start doing something.
begun	Past participle of begin; started.
being	Existence; a living creature.
belch	To expel gas noisily from the stomach through the mouth.
belie	To give a false impression of; to contradict.
belle	A beautiful and admired young woman.
belly	The front of the body between chest and hips; the stomach.
below	In a lower place or position than something.
bench	A long seat for several people; a worktable.
beret	A soft, round, flat cap without a brim.
berry	A small juicy fruit without a stone.
berth	A bed on a ship or train; a ship's docking place.
beset	To trouble or attack from all sides.
betel	A plant whose leaves are chewed in parts of Asia.
bevel	A sloping edge where two surfaces meet at an angle.
bezel	The rim that holds a gem or watch crystal in place.
bible	The holy book of Christianity; any authoritative book.
bicep	A large muscle on the front of the upper arm.
biddy	An informal, often rude word for an old woman.
bigot	A person who is intolerant of other people's views.
bilge	The lowest part of a ship where dirty water collects.
billy	A metal can for boiling water over a campfire; a club.
binge	A short period of excessive eating, drinking, or activity.
bingo	A game of chance with numbered cards and called numbers.
biome	A large natural community of plants and animals.
birch	A tree with thin, often peeling bark, common in cool climates.
birth	The moment a baby is born; the beginning of something.
bison	A large shaggy wild ox of North America or Europe.
bitty	Very small; made of tiny bits (informal).
black	The darkest color; having no light reflected.
blade	The flat cutting edge of a knife or sword; a leaf of grass.
blame	To say someone is responsible for a fault or wrong.
bland	Mild and unexciting in taste or character.
blank	Empty; without writing, marks, or expression.
blare	To sound loudly and harshly.
blast	A strong gust of wind or explosion; a fun time (informal).
blaze	A bright strong flame or fire; to burn fiercely.
bleak	Cold, bare, and cheerless; without hope.
bleat	The cry of a sheep or goat.
bleed	To lose blood; to seep out slowly.
bleep	A short high electronic beep.
blend	To mix things together smoothly.
bless	To ask for divine favor; to make holy or fortunate.
blimp	A small airship without a rigid frame.
blind	Unable to see; without awareness.
blink	To shut and open the eyes quickly.
bliss	Perfect happiness; great joy.
blitz	A sudden intense attack; a fast all-out effort.
bloat	To swell from fluid or gas; to become puffed up.
block	A solid piece of hard material; to stop movement.
bloke	A man; a fellow (informal British).
blond	Having light yellow hair; fair-haired.
blood	The red fluid that circulates in the body.
bloom	A flower; to produce flowers; to flourish.
blown	Past participle of blow; moved or shaped by air.
bluer	More blue in color; sadder.
bluff	A steep cliff; a bold deception.
blunt	Not sharp; frank in a direct, sometimes rude way.
blurb	A short promotional description of a book or product.
blurt	To say something suddenly without thinking.
blush	To go red in the face from embarrassment.
board	A flat piece of wood; to get on a ship or plane.
boast	To talk with too much pride about yourself.
bobby	A British police officer (informal).
boney	Very thin, so bones show clearly.
bongo	A small drum played with the hands, often in pairs.
bonus	Something extra given as a reward.
booby	A foolish person; a tropical seabird.
boost	To increase or improve; a lift in power or morale.
booth	A small enclosed stall or cubicle.
booty	Valuable goods taken in war or theft; attractive rear (slang).
booze	Alcoholic drink (informal).
boozy	Involving or affected by a lot of alcohol.
borax	A white mineral salt used in cleaning and glassmaking.
borne	Carried or endured; past participle of bear.
bosom	The chest, especially of a woman; close friendship.
bossy	Fond of giving orders in a pushy way.
botch	To do a job badly or clumsily.
bough	A main branch of a tree.
boule	A round loaf of bread; a ball used in a French game.
bound	Tied; certain to; a leap; a limit.
bowel	Part of the intestines in the abdomen.
boxer	A person who fights in the sport of boxing.
brace	A support that steadies something; a pair.
braid	To weave strands of hair or thread together.
brain	The organ of thought in the head; intelligence.
brake	A device that slows or stops a vehicle.
brand	A product's trade name; a mark burned on cattle.
brash	Confident in a rude or aggressive way.
brass	A yellow metal of copper and zinc; boldness (informal).
brave	Ready to face danger; not cowardly.
bravo	A shout of approval meaning well done.
brawl	A noisy rough fight.
brawn	Physical strength and muscle.
bread	A staple food made from flour and baked.
break	To smash into pieces; a pause or rest.
breed	To produce offspring; a type of animal.
briar	A thorny shrub; a tobacco pipe of that wood.
bribe	Money or gifts given to influence someone dishonestly.
brick	A rectangular block of baked clay used for building.
bride	A woman on her wedding day.
brief	Short in time or length; a short summary.
brine	Water with a lot of salt dissolved in it.
bring	To take or carry something toward a place.
brink	The edge of a steep place or of a dangerous situation.
briny	Salty, like seawater.
brisk	Quick, energetic, and active.
broad	Wide from side to side; general rather than detailed.
broil	To cook by direct heat; to be very hot.
broke	Having no money; past tense of break.
brood	To think moodily; a family of young birds.
brook	A small stream; to tolerate something.
broom	A brush on a long handle for sweeping.
broth	A thin clear soup made from meat or vegetables.
brown	A dark earthy colour like coffee or soil.
brunt	The main force or worst part of an attack.
brush	A tool with bristles for cleaning or painting.
brute	A cruel violent person; pure physical force.
buddy	A close friend (informal).
budge	To move slightly; to change a fixed position.
buggy	A light carriage; full of bugs (informal).
bugle	A simple brass horn used for military signals.
build	To make something by putting parts together.
built	Past tense of build; constructed.
bulge	A rounded swelling that sticks out.
bulky	Large and awkward to carry or store.
bully	A person who hurts or frightens weaker people.
bunch	A group of things of the same kind held together.
bunny	A child's word for a rabbit.
burly	Strong and heavily built.
burnt	Damaged or changed by fire or heat.
burst	To break open suddenly; a short intense outbreak.
bused	Carried or taken somewhere by bus.
bushy	Growing thickly, like dense hair or shrubs.
butch	Having a tough, traditionally masculine style.
butte	A steep-sided flat-topped hill rising from a plain.
buxom	Plump and healthy-looking, often of a woman.
buyer	A person who purchases goods.
bylaw	A rule made by a local group or organization.
cabal	A small secret group plotting together.
cabby	A taxi driver (informal).
cabin	A small simple house; a room on a ship.
cable	A thick strong rope of wire; a TV or data line.
cacao	The tropical tree whose seeds make cocoa and chocolate.
cache	A hidden store of things; computer temporary storage.
cacti	Plural of cactus; spiny desert plants.
caddy	A small container; a person who carries golf clubs.
cadet	A young trainee in the military or police.
cagey	Careful and not willing to give information.
cairn	A pile of stones used as a landmark or memorial.
camel	A desert animal with one or two humps, used for riding.
cameo	A small acting role; a carved gem with a raised design.
canal	An artificial waterway for boats or irrigation.
candy	Sweet food made with sugar.
canny	Shrewd and careful, especially with money.
canoe	A light narrow boat paddled by hand.
canon	A general rule or standard; official church law.
caper	A playful skip; a light-hearted adventure or prank.
caput	Latin for head; used in formal or medical phrases.
carat	A unit of weight for gems; gold purity measure.
cargo	Goods carried by a ship, plane, or truck.
carol	A joyful song, especially a Christmas hymn.
carry	To hold and take something from one place to another.
carve	To cut into a shape; to cut meat into slices.
caste	A fixed social class you are born into.
catch	To seize something in motion; a hidden problem.
cater	To provide food or what people want or need.
catty	Spiteful in a petty, mean way.
caulk	To seal gaps with a waterproof filler.
cause	A reason something happens; to make something occur.
cavil	To make petty unnecessary objections.
cease	To stop; to come to an end.
cedar	An evergreen tree with fragrant durable wood.
cello	A large string instrument held between the knees.
chafe	To rub until sore; to feel irritated.
chaff	Husks of grain; worthless talk or banter.
